,"ADOLFO, SP","ALVARES FLORENCE, SP","AMERICO DE CAMPOS, SP","APARECIDA D'OESTE, SP","ARIRANHA, SP","ASPASIA, SP","BADY BASSITT, SP","BALSAMO, SP","CARDOSO, SP","CATANDUVA, SP","CATIGUA, SP","CEDRAL, SP","COSMORAMA, SP","DIRCE REIS, SP","DOLCINOPOLIS, SP","ELISIARIO, SP","EMBAUBA, SP","ESTRELA D'OESTE, SP","FERNANDOPOLIS, SP","FERNANDO PRESTES, SP","FLOREAL, SP","GASTAO VIDIGAL, SP","GENERAL SALGADO, SP","GUAPIACU, SP","GUARANI D'OESTE, SP","IBIRA, SP","ICEM, SP","INDIAPORA, SP","IPIGUA, SP","IRAPUA, SP","ITAJOBI, SP","JACI, SP","JALES, SP","JOSE BONIFACIO, SP","MACAUBAL, SP","MACEDONIA, SP","MAGDA, SP","MARAPOAMA, SP","MARINOPOLIS, SP","MENDONCA, SP","MERIDIANO, SP","MESOPOLIS, SP","MIRA ESTRELA, SP","MIRASSOL, SP","MIRASSOLANDIA, SP","MONCOES, SP","MONTE APRAZIVEL, SP","NEVES PAULISTA, SP","NHANDEARA, SP","NIPOA, SP","NOVA ALIANCA, SP","NOVA CANAA PAULISTA, SP","NOVA GRANADA, SP","NOVAIS, SP","NOVO HORIZONTE, SP","ONDA VERDE, SP","ORINDIUVA, SP","OUROESTE, SP","PALESTINA, SP","PALMARES PAULISTA, SP","PALMEIRA D'OESTE, SP","PARAISO, SP","PARANAPUA, SP","PARISI, SP","PAULO DE FARIA, SP","PEDRANOPOLIS, SP","PINDORAMA, SP","PIRANGI, SP","PLANALTO, SP","POLONI, SP","PONTALINDA, SP","PONTES GESTAL, SP","POPULINA, SP","POTIRENDABA, SP","RIOLANDIA, SP","RUBINEIA, SP","SALES, SP","SANTA ADELIA, SP","SANTA ALBERTINA, SP","SANTA CLARA D'OESTE, SP","SANTA FE DO SUL, SP","SANTANA DA PONTE PENSA, SP","SANTA RITA D'OESTE, SP","SANTA SALETE, SP","SAO FRANCISCO, SP","SAO JOAO DAS DUAS PONTES, SP","SAO JOAO DE IRACEMA, SP","SAO JOSE DO RIO PRETO, SP","SEBASTIANOPOLIS DO SUL, SP","TABAPUA, SP","TANABI, SP","TRES FRONTEIRAS, SP","TURMALINA, SP","UBARANA, SP","UCHOA, SP","UNIAO PAULISTA, SP","URANIA, SP","URUPES, SP","VALENTIM GENTIL, SP","VITORIA BRASIL, SP","VOTUPORANGA, SP","ZACARIAS, SP"
"ADOLFO, SP",,"104,9872","104,1979","155,3586","88,804","164,1262","40,46635","55,89164","130,9498","70,79297","64,3056","53,57504","84,80333","131,4488","152,8773","55,86535","88,3975","131,2433","122,9449","99,3694","80,92379","74,84366","98,87889","65,25571","147,5599","45,07948","109,4131","154,4587","69,3538","24,76036","61,25562","39,62183","142,7602","419,1326","57,9817","133,6029","89,14922","53,27442","150,9678","8,865426","111,9762","173,4312","148,1337","48,78622","71,28983","63,51876","52,80857","43,48402","72,74285","38,41485","28,63147","165,0722","84,69111","79,96147","50,62079","78,49228","120,5963","156,3789","96,26702","88,8687","147,5138","93,4038","159,1896","110,0919","135,9329","119,5169","155,717","102,8246","36,9939","53,09678","126,9749","116,6668","170,7533","34,84392","138,9663","183,8665","19,03411","86,99601","174,6499","183,9259","175,3126","161,96","172,8954","154,4824","146,2661","121,0787","108,7544","54,27699","70,20223","70,20383","67,59664","170,7024","157,0417","10,96196","58,36936","46,71959","151,3541","36,7248","101,09","144,4569","95,98982","46,91819"
"ALVARES FLORENCE, SP","104,9872",,"18,19367","102,5069","150,8751","87,44982","81,4858","57,16275","26,58739","132,7503","119,8377","92,66233","22,29576","74,60281","66,86942","125,2445","133,4911","51,33032","35,92076","164,6854","46,54153","60,27525","59,55696","88,61183","52,54482","109,1435","74,32745","54,90712","65,85653","118,1366","140,9417","71,65884","67,18429","507,6572","54,1923","35,57031","48,82223","131,5495","96,36606","101,554","27,8308","84,00635","44,56516","68,81131","56,7727","61,9392","53,18271","64,45263","43,61445","66,92478","88,10975","108,7999","65,95714","127,2703","145,6123","71,43581","60,25435","60,10748","50,32979","142,8897","89,75531","140,8885","74,75813","11,12492","62,167","22,50414","246,9593","155,4448","79,03896","52,19488","65,56621","26,2906","77,91804","97,55039","44,4657","115,1773","120,804","153,6586","91,39287","109,2957","107,1028","93,15375","98,41295","81,94943","82,40958","49,66938","51,02968","77,45588","37,40755","115,7962","43,05385","103,0252","66,3253","95,46744","103,8118","62,81133","77,39989","116,8665","21,71502","61,71819","13,35689","82,37814"
"AMERICO DE CAMPOS, SP","104,1979","18,19367",,"120,7","139,1996","104,7936","74,69891","50,89953","30,47996","121,9924","109,0768","82,6812","20,59062","92,74231","83,5277","116,1388","120,3869","69,23615","53,73608","152,951","59,83147","72,66335","75,86139","76,65346","67,66817","100,7884","56,46912","67,85704","53,80041","113,752","132,4959","67,1112","85,03111","497,0112","61,16823","50,77303","63,89699","123,4256","114,5593","99,37819","46,02443","99,39631","54,733","61,86071","45,14124","71,8526","51,4578","61,18162","54,1381","68,14531","83,25326","126,9625","50,78463","114,8155","139,974","57,30045","42,2527","74,34601","33,2856","130,4705","107,9478","127,7189","91,42099","29,00871","46,04518","39,48466","238,2762","142,3254","83,88733","54,34838","83,72302","13,19742","92,58912","90,8028","35,6111","132,7821","118,0971","142,5302","107,7982","126,47","124,8311","111,0117","115,7729","99,73701","100,5577","67,86096","68,62617","67,92383","44,34366","103,9511","37,21233","120,8319","82,02601","95,8202","93,18634","67,41753","95,16688","110,2598","39,06526","79,03413","28,37014","89,70713"
"APARECIDA D'OESTE, SP","155,3586","102,5069","120,7",,"232,4123","35,87491","157,6525","139,1508","108,9747","212,7189","201,11","175,1773","115,0946","28,71033","52,75353","200,632","220,8548","53,51163","68,41008","245,5063","80,6804","81,48706","58,53594","176,7686","70,35785","184,387","176,1668","80,66718","157,3442","178,4761","212,2002","144,7153","40,09583","574,1051","103,3457","79,27216","71,60019","202,8342","6,142903","158,0154","74,67673","60,1236","93,50436","148,7161","149,0122","92,93015","126,9849","136,8627","91,69656","125,7055","157,0857","9,863615","163,2321","213,0682","205,9162","166,2995","162,5198","72,62381","151,3579","227,456","12,91571","228,001","49,19735","91,97015","161,5881","83,47348","310,9835","241,5749","118,4399","117,0896","37,30168","126,4855","66,63586","169,9746","135,668","33,17711","174,3443","233,1129","48,90402","39,68919","26,91673","23,31931","34,15373","30,24489","21,62879","52,84133","55,5607","161,4566","102,5216","200,7377","129,6186","23,87413","60,95663","144,6855","186,5432","113,2492","33,50829","185,184","82,98816","49,88748","94,8809","109,1389"
"ARIRANHA, SP","88,804","150,8751","139,1996","232,4123",,"231,7185","74,92541","96,27386","169,4828","19,71478","31,71174","58,95187","129,2225","205,1643","214,7303","33,37429","23,24011","194,9536","182,0489","13,81035","151,8653","151,9161","173,8955","62,56998","202,9984","48,39201","102,7774","205,704","85,48316","65,13998","31,1898","87,79288","209,6039","357,9461","129,1521","186,2486","160,9838","36,25259","227,1261","81,89429","170,8996","233,7046","193,7706","85,22482","94,39546","140,8902","106,4468","95,78773","141,0166","107,1645","75,92172","241,4792","90,7912","25,19244","54,60861","82,95095","125,6766","210,8901","110,746","11,35376","222,2817","19,01864","222,2738","160,5886","143,0373","172,2905","104,5355","16,3972","119,4273","115,5198","198,4401","146,2651","228,3726","62,89054","162,672","256,1489","75,60169","6,426683","239,0162","253,3783","247,4551","233,1806","241,9909","223,5731","218,5681","187,5706","178,8743","74,04622","131,5605","35,2508","109,113","242,8674","215,9674","96,2359","47,43168","119,8701","219,5776","52,13079","159,2497","207,7379","149,1512","131,8521"
"ASPASIA, SP","164,1262","87,44982","104,7936","35,87491","231,7185",,"157,3451","135,564","85,56279","212,4296","200,0072","172,8846","105,3351","36,25801","22,80614","202,0618","217,1137","37,14837","51,75557","245,3227","83,49107","89,99274","66,3394","171,8855","41,87206","185,4399","161,2","49,86907","150,3014","184,938","215,5789","144,903","22,14395","582,1716","107,126","55,85102","74,99566","205,9809","32,66672","164,8862","61,90899","24,25441","64,92332","146,4945","141,3452","100,9006","125,5437","136,7546","92,99999","129,3818","159,4798","34,1194","152,8858","210,0258","213,2796","157,5641","143,973","40,9907","137,7408","225,2297","28,69319","224,4778","16,10546","76,33358","139,6387","65,31038","318,6941","238,7169","127,761","117,6662","37,73384","107,1557","31,21222","171,6468","111,237","28,42784","182,9868","233,393","14,09413","21,99256","21,56802","12,7641","10,97929","10,30603","22,46778","44,35907","55,40783","158,0692","100,527","197,9146","123,5706","18,89991","28,83671","153,1643","184,4555","118,2312","12,77293","188,9724","73,08304","25,76363","84,25359","121,4098"
"BADY BASSITT, SP","40,46635","81,4858","74,69891","157,6525","74,92541","157,3451",,"24,35241","104,5004","55,34215","43,45979","18,98892","59,2069","130,2493","141,42","44,9078","64,28638","120,9745","108,961","88,28676","77,00675","78,08529","99,22443","27,11802","131,4495","28,31644","69,13449","135,7806","29,60566","40,23525","59,72158","12,949","135,2012","427,279","54,78051","115,3446","86,11784","50,21374","152,2952","32,28348","97,62442","161,048","126,005","12,8649","33,58552","67,59756","31,80414","20,86239","66,10635","34,05951","11,91967","166,6337","44,64919","56,06793","65,29997","38,07797","82,15553","139,8127","58,55364","69,89053","147,3777","71,09979","148,7405","89,71834","98,4935","100,9636","165,5801","84,14556","51,19931","40,61324","123,5321","85,44237","156,4823","16,16415","106,4617","181,3094","47,20248","76,15299","165,3317","178,8298","172,6088","158,369","167,4442","148,9413","143,6632","113,036","103,9701","13,82415","56,85821","43,84305","38,53499","168,0108","143,4942","38,7258","29,40675","46,61237","145,0374","35,6291","85,88237","134,002","76,89412","64,10565"
"BALSAMO, SP","55,89164","57,16275","50,89953","139,1508","96,27386","135,564","24,35241",,"80,31699","77,25085","64,60639","37,34288","34,87146","110,9455","118,5358","68,43801","82,06617","98,69586","85,88459","109,966","59,18381","63,88364","81,81884","37,64046","107,6822","52,11249","59,11379","111,6374","21,80801","62,87345","83,83782","16,64569","113,4964","451,0699","40,79903","91,35502","67,96787","74,40689","133,5011","49,76838","74,67006","137,7853","101,6593","11,67258","18,06852","55,33093","13,70037","13,32038","48,10628","28,56695","32,38426","147,6694","35,14789","74,64579","89,24878","32,92852","65,69593","115,9216","41,22581","89,69794","128,0941","89,34223","126,032","65,64164","80,27797","77,04837","189,8186","103,3564","49,09179","24,99533","103,5257","62,32643","132,8779","40,48515","84,07092","160,6098","67,77851","98,29456","142,7563","157,329","151,9616","137,608","145,9538","127,6649","123,5062","91,63809","84,0848","22,5853","36,6304","62,43366","14,18735","147,4272","120,1178","49,6016","48,90671","37,20237","123,569","59,90849","62,99104","111,4661","53,24564","60,31527"
"CARDOSO, SP","130,9498","26,58739","30,47996","108,9747","169,4828","85,56279","104,5004","80,31699",,"152,4399","139,5326","113,1505","46,46507","84,00037","62,85033","146,5684","150,2197","55,53726","41,65193","183,2022","70,29926","84,28703","78,33036","107,0045","44,35349","131,0895","80,29214","40,93632","84,21544","142,7192","162,8538","95,93097","69,54872","527,3796","80,6294","30,14366","70,4336","153,7171","102,9877","127,0526","40,64829","74,84807","25,80647","91,63691","75,61556","87,42591","78,49365","89,27255","69,23624","93,20064","112,3261","113,2749","79,95427","144,9247","169,5563","87,04007","59,94482","48,88065","60,87185","160,5535","96,12553","157,4962","70,31729","26,8434","54,07601","27,74696","268,7109","172,0848","105,6039","78,53897","75,14105","24,81426","66,9798","120,6609","26,70794","113,9618","146,1601","172,9163","85,30423","105,8978","106,8965","94,35226","96,23852","83,04341","87,46199","59,30921","66,30715","98,33437","63,96555","134,2553","66,21898","103,5032","58,90089","121,6851","123,6595","89,39848","78,55763","140,1294","41,9344","61,08133","38,65556","108,553"
"CATANDUVA, SP","70,79297","132,7503","121,9924","212,7189","19,71478","212,4296","55,34215","77,25085","152,4399",,"12,93807","40,17554","110,8296","185,53","195,786","15,00906","21,7605","175,7873","163,1336","32,94894","132,2048","132,2072","154,196","45,67424","184,5285","28,74775","90,76241","187,6563","68,23551","48,35675","21,8576","68,16216","190,2972","375,1268","109,442","167,9072","141,3242","21,59385","207,4477","63,37373","151,9171","214,9696","176,2134","65,99812","76,87677","121,1982","86,99134","76,1934","121,3856","87,45631","56,25231","221,8042","75,49322","16,32108","45,33833","67,27853","112,4877","192,5579","95,3034","18,19968","202,6356","24,07777","203,2669","142,1768","130,0857","153,8079","117,7705","32,04841","100,0491","95,89267","178,873","129,8941","209,8488","43,22419","147,4923","236,6417","59,54318","21,04502","219,971","234,0222","227,9428","213,6907","222,6337","204,1753","199,0046","168,2055","159,3119","55,4028","112,1056","19,71137","90,4402","223,3475","197,2663","77,50715","28,95243","100,1668","200,2188","34,20776","140,2243","188,6577","130,3784","112,5912"
"CATIGUA, SP","64,3056","119,8377","109,0768","201,11","31,71174","200,0072","43,45979","64,60639","139,5326","12,93807",,"27,36278","97,95511","173,6714","183,1189","14,20568","24,09401","163,2592","150,4481","45,3607","120,4652","121,1405","142,66","32,94287","171,6851","19,51319","79,69754","174,7411","55,34777","44,58151","29,13587","56,39507","177,8921","388,0645","98,07149","155,0334","129,5745","24,29898","195,754","56,16111","139,2659","202,2111","163,2755","53,51316","63,95116","110,3322","74,78581","64,29142","109,5454","76,50621","45,90355","210,0904","63,11382","15,68624","49,40321","54,81253","100,7484","179,6852","82,79498","26,7238","190,8111","29,52144","190,6347","129,3136","118,3756","140,9634","130,2583","41,14905","90,48887","84,06279","166,8424","117,096","197,022","33,13983","134,9646","224,4908","56,18462","33,84998","207,3627","221,6685","215,8013","201,5135","210,2815","191,8708","186,9628","155,8634","147,2758","42,56187","99,8894","9,679905","77,63409","211,2195","184,4936","69,62236","16,02644","89,24114","187,8687","29,69016","127,5967","176,0695","117,6227","103,2661"
"CEDRAL, SP","53,57504","92,66233","82,6812","175,1773","58,95187","172,8846","18,98892","37,34288","113,1505","40,17554","27,36278",,"70,66876","147,3719","155,786","33,61938","45,8303","136,0387","123,1084","72,67709","94,53835","96,56269","117,0138","12,6414","144,353","19,98712","62,63075","147,5648","29,8408","44,14327","50,32579","31,39252","150,7987","415,0319","73,08794","127,7411","103,5864","41,81874","169,6883","44,72526","111,9483","174,8485","136,409","26,59407","37,69452","86,30455","48,2483","38,63699","83,4854","52,98332","26,85064","183,9697","41,09052","37,89402","62,69929","32,8426","80,25583","152,3903","59,30668","52,52735","164,5387","52,86441","163,3223","102,0054","97,62295","113,6324","155,6409","66,44819","69,99192","58,23735","140,2792","91,57338","169,677","19,32663","110,727","197,6964","54,15713","61,18904","180,0648","194,6166","189,0251","174,6982","183,2355","164,8927","160,3559","128,8627","120,7378","15,23125","73,18306","25,5622","50,27582","184,4654","157,131","54,69643","11,57152","65,43421","160,8358","33,28006","100,2993","148,7917","90,26105","82,93224"
"COSMORAMA, SP","84,80333","22,29576","20,59062","115,0946","129,2225","105,3351","59,2069","34,87146","46,46507","110,8296","97,95511","70,66876",,"86,40432","86,35056","103,0093","112,6408","68,23458","53,89551","143,0241","44,04989","55,39813","63,55116","67,43421","73,77589","86,86144","62,57091","76,99969","45,15682","96,40108","118,6509","49,6949","83,87413","485,5241","41,09894","57,07868","50,11857","109,254","109,0745","80,62607","43,43619","104,6751","66,8012","46,51577","36,10876","52,84385","32,0947","42,82806","36,20213","47,88508","66,14906","122,5231","48,30968","106,0669","123,5977","52,3074","55,51332","81,73033","37,49923","121,6001","102,9098","120,0437","94,10789","31,36951","63,64361","43,07401","224,6645","134,5077","63,305","33,82566","77,88718","33,77939","99,15455","75,29557","56,18175","132,031","99,69948","131,8044","110,9076","127,3269","123,6148","109,3164","116,1231","98,57912","96,75924","63,50791","60,02848","55,43798","24,82048","94,34668","20,76288","119,2789","86,91416","75,9582","81,95021","46,84812","94,18966","94,65062","32,75558","80,12479","21,11396","69,44928"
"DIRCE REIS, SP","131,4488","74,60281","92,74231","28,71033","205,1643","36,25801","130,2493","110,9455","84,00037","185,53","173,6714","147,3719","86,40432",,"39,23174","173,9148","192,8778","29,47118","42,39179","218,4286","53,38081","56,60745","32,60299","148,4908","51,72248","157,4921","147,7367","63,12436","128,7642","153,5846","186,1888","117,373","22,84611","550,54","76,76018","55,83764","44,27389","176,7066","22,7674","133,2007","46,92509","55,38943","72,78906","120,8146","120,3708","67,99185","99,12409","109,3909","64,14767","99,3308","130,4895","36,73996","134,5219","185,2139","181,5494","137,6241","134,8361","56,93431","122,8415","199,8138","17,16814","200,0812","40,24421","64,43283","135,0065","57,10114","287,0261","213,8201","94,53445","89,64452","9,090383","99,38462","58,41605","143,2097","110,5829","52,44469","150,4723","206,1399","49,70364","53,09393","43,86457","30,82027","42,68746","25,96885","15,04982","25,27812","26,97117","133,3806","74,35084","172,8984","101,0548","39,25392","47,73161","120,5599","158,8223","87,24806","24,89996","159,224","54,49126","32,3215","66,33964","86,87223"
"DOLCINOPOLIS, SP","152,8773","66,86942","83,5277","52,75353","214,7303","22,80614","141,42","118,5358","62,85033","195,786","183,1189","155,786","86,35056","39,23174",,"186,3274","198,9409","21,66008","32,68554","228,4625","72,31722","81,71451","60,34069","153,6787","19,1285","169,7282","139,6351","28,15142","131,4997","172,0109","200,6507","129,4765","16,39048","568,1979","94,92056","33,482","65,04266","191,0416","47,77947","152,5458","43,87342","20,59049","42,41529","129,8682","122,4313","91,51237","109,8119","121,3778","80,20925","116,2061","144,8575","54,03543","132,8026","192,1994","200,456","138,0096","121,7015","19,87131","116,7452","207,6262","41,63687","206,3396","7,899698","55,92655","116,9167","44,37757","305,2438","220,7549","117,8759","103,237","35,1812","84,95677","20,11734","156,4423","88,43092","51,12764","171,3057","216,8286","24,58876","43,32357","44,33189","33,08071","33,38819","22,80381","32,51993","32,49977","46,35923","140,701","85,48088","180,2922","105,709","41,31466","8,659837","142,0027","167,3001","106,1966","19,2495","174,5727","55,59173","8,800207","65,69743","113,5909"
"ELISIARIO, SP","55,86535","125,2445","116,1388","200,632","33,37429","202,0618","44,9078","68,43801","146,5684","15,00906","14,20568","33,61938","103,0093","173,9148","186,3274",,"35,07089","165,8417","153,8484","45,3278","120,542","119,5695","142,1221","42,72964","176,0972","16,62901","91,89029","179,9854","63,39945","33,42934","16,91528","57,15883","179,9237","382,6319","97,31676","159,7883","129,6415","10,20166","195,5051","48,63108","142,5209","205,9185","169,4076","56,8114","71,29211","108,3712","76,63153","65,30722","109,9566","74,94575","43,54847","209,8729","73,31569","27,69211","35,21738","64,90995","111,9188","184,3592","92,39006","33,20269","190,9253","38,63572","193,6441","134,0607","129,5087","145,4853","122,1425","46,9691","86,17928","84,6257","167,6088","125,1925","201,2341","30,70548","144,1804","225,5326","44,74277","32,7605","210,2208","223,4221","216,8253","202,6772","212,0476","193,4936","187,7201","157,7109","148,1134","48,23771","101,5386","23,83583","82,28071","212,2065","188,3321","62,9041","24,74471","87,52381","189,6678","19,20882","130,7793","178,8951","121,5861","98,5224"
"EMBAUBA, SP","88,3975","133,4911","120,3869","220,8548","23,24011","217,1137","64,28638","82,06617","150,2197","21,7605","24,09401","45,8303","112,6408","192,8778","198,9409","35,07089",,"180,024","166,3458","35,10759","140,2894","142,3095","162,8097","45,27918","186,0081","43,51894","80,21888","187,8294","67,65907","67,99187","43,24701","77,06632","195,1764","378,2364","118,8825","169,0604","149,3068","43,16914","215,3092","80,23972","155,4845","217,2386","175,1159","72,14018","76,75824","131,8836","93,87168","84,46203","129,211","98,24244","68,79483","229,5505","70,46369","8,568337","67,05271","63,18333","103,4859","193,56","90,23321","11,97703","210,0431","7,404315","206,6502","143,7285","120,657","155,5059","127,567","21,96993","113,5592","104,0536","185,5761","126,3435","211,4","56,50498","141,5403","242,6053","79,50712","29,11827","223,4538","239,0033","233,975","219,6102","227,6609","209,5204","205,5719","173,5416","166,0989","59,52176","118,5392","20,44739","93,54658","229,4552","199,4825","93,57015","34,88477","110,8745","205,3463","53,19782","144,0702","192,4273","133,2954","126,4454"
"ESTRELA D'OESTE, SP","131,2433","51,33032","69,23615","53,51163","194,9536","37,14837","120,9745","98,69586","55,53726","175,7873","163,2592","136,0387","68,23458","29,47118","21,66008","165,8417","180,024",,"15,52159","208,6132","50,66879","60,44072","40,35284","134,7752","24,34406","149,2154","125,6336","35,68866","113,1546","150,6015","179,8351","108,777","15,87283","547,1678","73,31025","26,46073","43,5702","170,2221","47,48295","131,0207","24,80034","42,24885","43,50165","109,7904","104,2059","69,97566","89,2105","100,6406","58,63306","94,77499","123,8687","58,46702","116,0233",173,"179,0479","120,5123","110,09","31,62724","101,578","188,2654","40,62433","187,396","28,1425","40,26644","108,2045","30,40189","284,0223","201,6725","96,24123","82,09798","21,52149","73,55593","40,67674","135,6905","82,24519","64,05555","149,7151","196,7978","44,42389","59,12339","55,84299","41,82398","47,88973","30,66797","32,18963","11,45242","25,62583","121,1252","64,50104","160,9318","86,47897","51,70935","27,04352","120,3593","147,6008","84,58621","26,15658","153,5462","35,95713","13,28102","47,13204","92,22891"
"FERNANDOPOLIS, SP","122,9449","35,92076","53,73608","68,41008","182,0489","51,75557","108,961","85,88459","41,65193","163,1336","150,4481","123,1084","53,89551","42,39179","32,68554","153,8484","166,3458","15,52159",,"195,7855","44,97716","57,14366","42,1614","121,0702","24,8745","137,2772","110,1643","33,73365","99,03811","140,7917","168,3956","97,21975","31,29868","536,0499","65,25241","16,27965","40,14407","158,799","62,30782","121,8277","11,3722","52,10482","35,45982","97,26537","90,00322","64,90551","77,52789","89,17705","50,5539","85,30047","112,8754","73,81182","101,1356","159,547","169,1722","105,9323","94,62221","33,70545","86,23618","174,9553","55,49597","173,7402","40,31437","24,81551","93,1921","15,06845","273,4326","188,1286","89,71783","71,67386","33,49126","58,19651","48,1358","124,1805","68,19194","79,27138","140,8955","184,1781","57,11369","73,71097","71,18285","57,28039","62,67243","46,03756","47,42246","17,79426","27,70916","108,016","53,79889","147,6179","73,02885","67,12382","34,71123","112,2663","134,6178","76,36899","41,48217","142,5823","23,094","26,2559","33,05285","87,70365"
"FERNANDO PRESTES, SP","99,3694","164,6854","152,951","245,5063","13,81035","245,3227","88,28676","109,966","183,2022","32,94894","45,3607","72,67709","143,0241","218,4286","228,4625","45,3278","35,10759","208,6132","195,7855",,"165,0785","164,7228","186,9709","76,34734","216,7997","61,15892","115,3172","219,5125","99,26495","75,02785","38,9656","101,0832","223,1972","344,2941","142,1733","200,0559","174,1977","46,1008","240,2779","93,01416","184,6181","247,4792","207,5482","98,83968","108,1915","153,5937","119,933","109,1313","154,2944","120,0017","88,63368","254,6403","104,2756","38,52708","59,91117","96,52825","138,4977","224,6983","124,2152","23,36751","235,5199","29,18929","235,9898","174,3914","155,7309","186,0894","92,84617","18,86353","131,4223","128,8092","211,8125","159,8826","242,1709","75,63697","176,0031","269,5904","84,724","12,58187","252,7217","266,9434","260,8913","246,6395","255,555","237,1088","231,9446","201,1274","192,2536","87,80673","145,0489","49,02356","122,8831","256,2954","229,746","107,471","61,18553","132,6574","233,1399","63,17488","172,9548","221,4302","162,9128","143,6332"
"FLOREAL, SP","80,92379","46,54153","59,83147","80,6804","151,8653","83,49107","77,00675","59,18381","70,29926","132,2048","120,4652","94,53835","44,04989","53,38081","72,31722","120,542","140,2894","50,66879","44,97716","165,0785",,"13,98822","22,64071","96,75263","69,70792","104,1114","105,6698","78,57558","78,95486","101,4735","133,0418","64,08789","61,88239","498,7559","23,72465","59,03631","9,119585","123,515","75,28878","81,39691","35,75825","92,907","77,06688","68,17649","71,48174","19,92883","46,47322","56,18963","11,10828","46,23471","77,16764","89,62796","87,61877","132,4319","129,7913","88,96613","99,39318","78,46829","80,92917","146,7758","70,44306","147,3924","78,36479","43,50502","105,8044","47,47505","235,2363","160,9017","45,58364","36,41326","47,28575","71,5198","90,97054","89,83906","91,007","105,2024","99,64111","152,7692","93,72784","103,9572","96,50549","82,54582","92,71974","74,14175","67,2989","40,1853","28,15236","81,09417","23,2915","120,1","51,7512","91,87209","77,19675","69,98213","105,8722","34,74293","70,7541","106,1591","28,80539","63,74401","33,19977","42,7287"
"GASTAO VIDIGAL, SP","74,84366","60,27525","72,66335","81,48706","151,9161","89,99274","78,08529","63,88364","84,28703","132,2072","121,1405","96,56269","55,39813","56,60745","81,71451","119,5695","142,3095","60,44072","57,14366","164,7228","13,98822",,"24,04439","100,5054","81,38662","103,5873","115,1717","90,87395","84,99509","97,20446","130,7368","65,24387","69,43582","493,9397","23,55398","71,99334","17,14168","121,4058","76,7014","76,76354","48,85625","102,1339","90,40904","71,16547","78,43417","11,47197","50,31261","58,00907","19,24756","44,75164","76,08963","90,99011","95,35804","134,1473","125,0078","95,61246","110,8794","89,98711","90,99478","147,7963","72,84967","149,18","87,02813","57,49097","118,3525","61,08412","230,4446","162,136","37,98459","39,14761","52,41716","84,75454","101,1174","89,09182","104,7027","109,039","93,86508","152,2319","101,409","109,22","100,472","87,15869","98,31007","80,09056","71,43714","49,22893","35,50872","84,38149","31,78335","121,8908","59,2139","95,85981","87,4496","63,953","107,4698","32,06544","77,26046","103,7246","42,71874","72,94472","46,91921","31,90038"
"GENERAL SALGADO, SP","98,87889","59,55696","75,86139","58,53594","173,8955","66,3394","99,22443","81,81884","78,33036","154,196","142,66","117,0138","63,55116","32,60299","60,34069","142,1221","162,8097","40,35284","42,1614","186,9709","22,64071","24,04439",,"119,3932","63,70808","125,853","126,0767","74,37624","101,3676","121,0131","153,9552","86,27657","46,60172","517,9421","44,81426","58,3916","14,04699","144,5261","53,39493","100,613","38,02147","80,23655","77,58248","90,74701","93,66773","35,39165","69,07535","78,51047","33,7428","67,23957","98,58516","67,76006","109,375","154,8933","148,9476","111,1701","117,4007","71,69127","101,04","169,0945","49,10889","169,8782","64,7926","52,63165","121,5244","51,39165","254,4236","183,283","62,02343","58,78554","28,61408","85,83122","80,30799","111,4498","102,475","85,04766","117,8941","174,5781","78,27256","85,20966","76,45794","63,11761","74,36378","56,29734","47,39295","28,95585","15,01253","103,7102","45,64522","142,5644","73,91957","71,83978","67,04819","87,97575","128,2807","54,91686","53,69943","126,9518","38,04768","51,57215","47,50046","55,07102"
"GUAPIACU, SP","65,25571","88,61183","76,65346","176,7686","62,56998","171,8855","27,11802","37,64046","107,0045","45,67424","32,94287","12,6414","67,43421","148,4908","153,6787","42,72964","45,27918","134,7752","121,0702","76,34734","96,75263","100,5054","119,3932",,"141,0122","31,59082","50,49536","143,2915","22,919","56,77683","59,63571","37,26722","149,9926","420,3769","76,99089","124,1311","105,5887","51,94942","171,0941","56,48502","110,2087","172,0975","131,2018","29,42738","31,89585","90,98216","50,47878","43,02515","85,65267","59,04385","37,37513","185,2282","30,60185","38,67303","74,27331","22,20004","69,29888","148,7167","49,97321","54,2781","165,6191","52,67057","161,378","98,64384","86,84867","110,4101","163,18","67,08347","77,71236","61,40116","140,9284","84,2249","166,415","31,75618","102,0832","197,5881","66,76556","65,91792","178,1809","193,7983","188,987","174,6134","182,4701","164,4031","160,8088","128,484","121,575","16,23574","74,25114","27,32378","48,32318","184,4947","154,3365","65,29259","18,00544","70,79885","160,1926","45,49256","98,8181","147,1492","88,01842","90,47318"
