Codigo;Fem - 50 a 69;% Fem - 50 a 69;Total;DRS
352265;316;15,14%;48;DRS 16
352270;5148;23,61%;1216;DRS 3
352280;1800;23,90%;431;DRS 6
352290;1458;20,53%;300;DRS 6
352300;529;22,01%;117;DRS 2
352310;34792;17,98%;6256;DRS 1
352320;5495;21,32%;1172;DRS 16
352330;1565;17,61%;276;DRS 12
352340;13586;21,67%;2945;DRS 7
352350;1817;17,71%;322;DRS 6
352360;1555;21,29%;332;DRS 10
352370;626;19,25%;121;DRS 8
352380;881;23,21%;205;DRS 14
352390;19303;21,51%;4153;DRS 16
352400;5332;16,89%;901;DRS 7
352410;4984;23,01%;1147;DRS 8
352420;717;20,64%;148;DRS 5
352430;9413;23,50%;2213;DRS 13
352440;27660;22,70%;6279;DRS 17
352450;736;20,40%;151;DRS 15
352460;1867;21,29%;398;DRS 12
352470;6206;20,44%;1269;DRS 7
352480;6830;27,10%;1851;DRS 15
352490;628;19,20%;121;DRS 17
352500;12297;18,76%;2307;DRS 1
352510;4560;20,26%;924;DRS 13
352520;3094;19,80%;613;DRS 7
352530;17400;22,22%;3867;DRS 6
352540;292;18,41%;54;DRS 8
352550;1611;23,88%;385;DRS 7
352560;498;22,20%;111;DRS 11
352570;4145;22,13%;918;DRS 15
352580;537;22,29%;120;DRS 9
352585;325;19,12%;63;DRS 16
352590;50267;22,97%;11547;DRS 7
352600;2337;24,25%;567;DRS 11
352610;2056;22,18%;457;DRS 12
352620;3193;20,55%;657;DRS 1
352630;584;24,77%;145;DRS 17
352640;3282;22,38%;735;DRS 6
352650;504;25,36%;128;DRS 2
352660;725;19,54%;142;DRS 17
352670;10702;20,41%;2185;DRS 10
352680;7439;21,27%;1583;DRS 6
352690;36726;23,21%;8525;DRS 10
352700;881;21,17%;187;DRS 7
352710;9474;23,58%;2234;DRS 6
352720;10327;22,34%;2308;DRS 17
352725;298;27,44%;82;DRS 2
352730;3885;15,53%;604;DRS 7
352740;2461;24,64%;607;DRS 9
352750;269;21,96%;60;DRS 6
352760;1341;17,88%;240;DRS 13
352770;595;21,57%;129;DRS 2
352780;532;22,09%;118;DRS 9
352790;304;23,00%;70;DRS 9
352800;1934;22,53%;436;DRS 6
352810;1026;25,72%;264;DRS 15
352820;524;28,51%;150;DRS 15
352830;415;27,80%;116;DRS 15
352840;5275;22,08%;1165;DRS 16
352850;10645;21,05%;2241;DRS 1
352860;1104;22,09%;244;DRS 6
352870;416;24,81%;104;DRS 11
352880;1699;24,02%;409;DRS 9
352885;352;23,62%;84;DRS 15
352890;449;23,10%;104;DRS 9
352900;30706;24,47%;7514;DRS 9
352910;284;27,10%;77;DRS 15
352920;3087;24,39%;753;DRS 11
352930;10214;24,08%;2460;DRS 3
352940;50349;20,53%;10337;DRS 1
