,"ARUJA, SP","BARUERI, SP","BIRITIBA-MIRIM, SP","CAIEIRAS, SP","CAJAMAR, SP","CARAPICUIBA, SP","COTIA, SP","DIADEMA, SP","EMBU DAS ARTES, SP","EMBU-GUACU, SP","FERRAZ DE VASCONCELOS, SP","FRANCISCO MORATO, SP","FRANCO DA ROCHA, SP","GUARAREMA, SP","GUARULHOS, SP","ITAPECERICA DA SERRA, SP","ITAPEVI, SP","ITAQUAQUECETUBA, SP","JANDIRA, SP","JUQUITIBA, SP","MAIRIPORA, SP","MAUA, SP","MOGI DAS CRUZES, SP","OSASCO, SP","PIRAPORA DO BOM JESUS, SP","POA, SP","RIBEIRAO PIRES, SP","RIO GRANDE DA SERRA, SP","SALESOPOLIS, SP","SANTA ISABEL, SP","SANTANA DE PARNAIBA, SP","SANTO ANDRE, SP","SAO BERNARDO DO CAMPO, SP","SAO CAETANO DO SUL, SP","SAO LOURENCO DA SERRA, SP","SAO PAULO, SP","SUZANO, SP","TABOAO DA SERRA, SP","VARGEM GRANDE PAULISTA, SP"
"MOGI DAS CRUZES, SP","19,00346","69,84733","16,33921","59,46102","72,3381","66,17702","74,67489","47,03981","68,81957","72,14013","18,31197","62,47218","58,30239","19,96246","34,78303","70,36972","75,74089","17,06209","72,44005","100,3969","46,21696","31,72779",,"61,17907","83,92086","15,51318","30,91478","32,09902","35,35284","22,86751","74,48215","37,12054","41,867","39,85067","84,91485","45,10339","12,25612","60,66523","85,08973"
"OSASCO, SP","50,73649","8,972868","76,78267","19,12516","21,38854","5,102638","15,20485","24,01989","14,38813","33,23991","42,9703","28,17969","23,15758","78,12674","27,8976","21,33003","14,63398","45,41047","11,27579","52,6765","31,62346","36,82555","61,17907",,"26,2424","45,66646","43,31605","46,56597","96,51696","62,32901","16,05822","30,06642","31,35095","24,70987","38,81125","16,28833","49,11286","8,921134","24,65525"
"PIRAPORA DO BOM JESUS, SP","70,02319","18,03986","100,0948","26,22829","13,62594","21,65838","24,43304","50,12081","31,85352","51,77467","66,46421","29,28999","29,31741","98,61579","49,14288","38,78582","18,2035","67,10402","17,77889","59,68241","43,40766","62,79343","83,92086","26,2424",,"68,6998","69,42884","72,75589","119,007","79,74875","10,22287","56,16243","57,56506","50,68513","50,89651","41,3676","72,48523","32,98521","22,47356"
"POA, SP","14,51222","54,34201","31,41694","44,93564","57,52436","50,66462","59,28222","33,06678","53,6868","58,85548","3,23543","48,98758","44,26966","33,67534","19,76044","55,74882","60,23575","5,521972","56,92689","86,76988","33,67813","19,75862","15,51318","45,66646","68,6998",,"22,03333","24,8199","50,86143","25,72565","59,12398","23,50588","29,21916","25,18159","71,16085","29,62904","3,97254","45,39715","69,6546"
"RIBEIRAO PIRES, SP","36,45863","52,11662","41,35501","51,46289","61,53078","48,23545","52,79707","21,24193","45,20103","42,89627","19,56158","58,44298","52,63599","50,82723","29,50651","44,27586","55,96986","27,09382","53,73526","71,15258","47,05668","6,966724","30,91478","43,31605","69,42884","22,03333",,"3,872341","61,49951","47,62007","59,20663","13,26664","13,83763","18,7848","56,11901","28,62204","21,64021","38,77053","63,18655"
"RIO GRANDE DA SERRA, SP","39,32903","55,28064","41,14281","55,24018","65,14117","51,4185","55,43484","23,80953","47,63932","43,75753","22,60369","62,28846","56,46726","51,79572","33,36406","46,19374","58,86702","30,07566","56,7797","71,80668","50,90674","10,75684","32,09902","46,56597","72,75589","24,8199","3,872341",,"61,01092","50,09231","62,53484","16,68048","16,15218","22,26888","57,05459","32,22561","23,93125","41,59653","65,7255"
"SALESOPOLIS, SP","50,3124","105,2002","20,34254","93,94266","107,0159","101,5251","109,792","80,77961","103,5836","104,3893","53,56987","95,81596","92,30647","23,36187","69,91293","104,4377","111,0534","51,90489","107,7837","132,6485","79,1427","64,62406","35,35284","96,51696","119,007","50,86143","61,49951","61,01092",,"45,29014","109,7227","70,90298","74,54886","74,41765","117,5775","80,38212","47,43744","95,64494","120,2631"
"SANTA ISABEL, SP","12,56112","69,67616","33,64132","53,54085","66,5716","66,64759","77,37542","56,75131","73,63052","82,6341","28,60775","53,12285","50,87819","21,97114","34,83366","77,33565","76,55927","21,4432","72,73926","109,6793","36,76735","45,33427","22,86751","62,32901","79,74875","25,72565","47,62007","50,09231","45,29014",,"71,84879","48,07537","54,25733","48,20195","94,09732","48,77303","26,17274","65,04079","86,92704"
"SANTANA DE PARNAIBA, SP","61,47651","8,44259","90,53967","19,36048","10,61939","11,68651","17,63489","40,02308","23,60849","44,10034","56,76449","25,18854","23,23883","89,88111","39,82717","31,00673","11,67288","57,8652","9,37576","56,26787","36,52117","52,58164","74,48215","16,05822","10,22287","59,12398","59,20663","62,53484","109,7227","71,84879",,"45,9401","47,40712","40,46856","45,37476","31,23537","62,8401","23,28094","20,22342"
"SANTO ANDRE, SP","35,66633","38,90546","50,57121","39,12854","48,52299","35,01596","40,27043","9,94387","33,15452","35,37119","20,27831","46,7465","40,78257","56,65479","20,57115","33,54008","43,02026","26,6991","40,62056","63,42833","37,55373","6,921462","37,12054","30,06642","56,16243","23,50588","13,26664","16,68048","70,90298","48,07537","45,9401",,"6,488016","5,603812","47,87222","15,65947","25,31328","26,02852","50,7761"
"SAO BERNARDO DO CAMPO, SP","41,93822","39,75694","54,23635","43,07965","51,27552","35,96866","39,29632","7,712416","31,49639","30,28603","26,04387","51,21237","45,18788","61,68781","26,73176","30,46548","42,89306","32,82143","41,01241","58,58838","43,28549","10,1525","41,867","31,35095","57,56506","29,21916","13,83763","16,15218","74,54886","54,25733","47,40712","6,488016",,"9,968878","43,21462","19,36637","30,56023","25,60278","49,57343"
"SAO CAETANO DO SUL, SP","35,64345","33,62141","54,18231","33,69159","42,91984","29,7238","35,76724","8,636444","29,16934","34,43275","21,99088","41,51843","35,51835","58,83451","17,34832","30,59638","38,07759","27,34432","35,48481","61,83936","33,38361","12,12484","39,85067","24,70987","50,68513","25,18159","18,7848","22,26888","74,41765","48,20195","40,46856","5,603812","9,968878",,"46,2091","10,08536","27,67531","21,46908","46,30692"
"SAO LOURENCO DA SERRA, SP","81,56432","38,54092","97,33256","57,73276","55,52145","38,05258","27,77454","38,09959","24,43894","13,30542","67,92911","66,51827","61,88113","104,5269","60,25917","17,89251","33,76402","73,54765","36,29009","15,63028","69,58038","53,34035","84,91485","38,81125","50,89651","71,16085","56,11901","57,05459","117,5775","94,09732","45,37476","47,87222","43,21462","46,2091",,"46,1478","73,18187","31,58912","29,26078"
"SAO PAULO, SP","36,5167","25,20376","60,54202","23,73798","32,91708","21,38077","29,73535","14,53436","24,93331","36,2639","26,81485","31,88925","25,85891","62,70007","14,1762","28,76019","30,68314","29,97894","27,54123","61,49488","26,13808","21,74719","45,10339","16,28833","41,3676","29,62904","28,62204","32,22561","80,38212","48,77303","31,23537","15,65947","19,36637","10,08536","46,1478",,"32,9448","16,3575","40,03992"
"SUZANO, SP","16,24144","57,86711","27,73746","48,88335","61,42808","54,14729","62,4402","35,13314","56,57035","60,62492","6,14287","52,95376","48,24133","31,34856","23,66993","58,25186","63,62046","8,530978","60,38739","88,7412","37,56265","20,64354","12,25612","49,11286","72,48523","3,97254","21,64021","23,93125","47,43744","26,17274","62,8401","25,31328","30,56023","27,67531","73,18187","32,9448",,"48,41011","72,87317"
"TABOAO DA SERRA, SP","52,85656","14,96509","75,50588","27,61344","30,07237","11,66786","14,30082","17,89661","8,590895","24,60671","42,39639","36,76461","31,44125","78,83001","30,24606","13,69815","17,29093","46,21784","15,62114","46,31868","37,99366","32,9445","60,66523","8,921134","32,98521","45,39715","38,77053","41,59653","95,64494","65,04079","23,28094","26,02852","25,60278","21,46908","31,58912","16,3575","48,41011",,"24,83962"
"VARGEM GRANDE PAULISTA, SP","75,39149","17,78087","100,2195","38,17877","30,74635","20,33293","10,53971","41,96265","18,13764","33,25555","66,77812","45,15859","42,37651","102,6017","52,5389","21,96355","10,59264","69,84095","14,56728","37,2242","54,27117","57,66491","85,08973","24,65525","22,47356","69,6546","63,18655","65,7255","120,2631","86,92704","20,22342","50,7761","49,57343","46,30692","29,26078","40,03992","72,87317","24,83962",
