"","AGUAS DE SAO PEDRO, SP","ANALANDIA, SP","ARARAS, SP","CAPIVARI, SP","CHARQUEADA, SP","CONCHAL, SP","CORDEIROPOLIS, SP","CORUMBATAI, SP","ELIAS FAUSTO, SP","ENGENHEIRO COELHO, SP","IPEUNA, SP","IRACEMAPOLIS, SP","ITIRAPINA, SP","LEME, SP","LIMEIRA, SP","MOMBUCA, SP","PIRACICABA, SP","PIRASSUNUNGA, SP","RAFARD, SP","RIO CLARO, SP","RIO DAS PEDRAS, SP","SALTINHO, SP","SANTA CRUZ DA CONCEICAO, SP","SANTA GERTRUDES, SP","SANTA MARIA DA SERRA, SP","SAO PEDRO, SP"
"LIMEIRA, SP","48.861730923692","54.890272676348","22.726772484042","49.654063600071","38.870372020543","34.206780721778","10.861799392922","44.15418018124","53.261014047199","21.090799563236","35.083736132991","12.089718872623","55.024973122793","41.603334132056","","44.049325542907","31.240885702224","62.453153983843","51.866369689643","23.407428654384","37.713298364319","42.120954464918","47.234588544811","17.557617210334","77.688463024959","52.002166110598"
"MOMBUCA, SP","48.405021484664","89.191857435253","66.062253106005","10.07690650598","51.260699822914","76.940424554641","51.366425925046","78.672544276948","23.398678047706","60.720130422911","56.787101575594","38.249795603753","79.323072236242","84.267250978031","44.049325542907","","24.205217171432","104.0841479174","10.057294455963","57.508827059651","10.349758015375","14.704884729242","88.360045012308","52.182546697389","72.722919510387","54.66079344003"
"PIRACICABA, SP","27.023673930583","66.038935792747","49.073158508855","33.927019525717","27.168543187681","65.150810195429","33.989115262137","55.880088049071","45.159229390183","51.988688765696","32.756138370585","20.540639999651","55.129895208011","65.412924912361","31.240885702224","24.205217171432","","83.679963551929","34.262315469332","36.078198048607","13.886275183522","13.503083316603","68.022149949591","31.837682043387","54.978697994782","32.766710400768"
"PIRASSUNUNGA, SP","81.029223388045","28.153400592142","40.002602713387","111.21378729174","67.012560846895","45.886673686859","53.0904489439","31.975845592908","115.71128496744","58.823568999616","56.756314532486","65.834906699938","49.461973844305","21.181699349884","62.453153983843","104.0841479174","83.679963551929","","113.03708681617","47.614349165651","95.47629298803","97.149179089712","15.743404607554","52.1654732154","98.198662854074","78.686227647987"
"RAFARD, SP","57.924193877545","98.976757264091","74.347206585785","3.2462848506465","61.292597381836","83.483932544129","60.030175701007","88.382670832417","16.562815066038","66.693842049238","66.814540580587","47.359636380022","89.378778688627","92.871032027251","51.866369689643","10.057294455963","34.262315469332","113.03708681617","","66.994806897407","20.395992656376","23.954520816581","97.364229306209","61.490533666675","81.045118483385","64.226264112695"
"RIO CLARO, SP","38.61866053147","32.839020766751","19.102971515727","65.592157818881","24.730706437557","40.704450743664","13.127492325045","21.95642842058","72.581692706043","36.940086201547","16.135346165918","20.112487164651","31.968722671443","30.407546180638","23.407428654384","57.508827059651","36.078198048607","47.614349165651","66.994806897407","","48.307139868418","49.56564667608","32.010516038572","6.1693005305287","63.880397202026","38.971228751439"
"RIO DAS PEDRAS, SP","38.618901518915","79.404699687535","58.606808609072","20.256947738621","40.911857174472","71.663758878578","43.552737211982","69.023574696117","32.531636911383","56.444118723215","46.57824328975","29.962247431761","69.015990393284","76.219060930566","37.713298364319","10.349758015375","13.886275183522","95.47629298803","20.395992656376","48.307139868418","","7.0744113364794","79.734252300023","43.321279829142","64.240764980732","44.789713163096"
"SALTINHO, SP","33.972412159371","79.271587086386","61.772926149484","24.664898043946","38.502887926686","76.319152574909","46.609629004578","69.252282355759","38.027795764073","61.768679624682","45.471336795998","32.907175711906","67.142580501905","78.642326335941","42.120954464918","14.704884729242","13.503083316603","97.149179089712","23.954520816581","49.56564667608","7.0744113364794","","81.471080351566","45.172096627817","58.133978518546","40.281022299683"
"SANTA CRUZ DA CONCEICAO, SP","66.978819713368","21.313873302598","25.35653844666","95.584870666541","52.728003406807","36.572448020615","37.531805066276","19.748454814896","100.45043192244","46.342369675253","42.428223814566","50.110747930893","39.828738360398","8.6256529337548","47.234588544811","88.360045012308","68.022149949591","15.743404607554","97.364229306209","32.010516038572","79.734252300023","81.471080351566","","36.429408976472","86.611870688116","65.269784191769"
"SANTA GERTRUDES, SP","38.590317636481","38.93500135921","18.989653575169","59.966407428946","25.667615939169","39.352283827169","8.1626525481038","28.043611952159","66.579553817643","33.120120423771","18.978017904875","14.249037388652","37.483204828072","33.608339182933","17.557617210334","52.182546697389","31.837682043387","52.1654732154","61.490533666675","6.1693005305287","43.321279829142","45.172096627817","36.429408976472","","65.453673543848","39.9323364691"
"SANTA MARIA DA SERRA, SP","29.201682136704","70.551348737082","82.976451651956","82.376591793796","39.806458782646","104.49681190544","72.944509949003","66.992719819876","96.118951870028","97.633373789522","47.861446998358","65.948706479061","49.152256373332","89.693305330752","77.688463024959","72.722919510387","54.978697994782","98.198662854074","81.045118483385","63.880397202026","64.240764980732","58.133978518546","86.611870688116","65.453673543848","","25.774168387779"
"SAO PEDRO, SP","6.3342859081369","53.159635568326","58.007362353774","64.736407924414","14.320279854829","79.207532461085","47.247722026209","46.713576770098","77.274692391788","71.861407902618","23.591529226472","40.419801866542","34.126146254252","66.909072721438","52.002166110598","54.66079344003","32.766710400768","78.686227647987","64.226264112695","38.971228751439","44.789713163096","40.281022299683","65.269784191769","39.9323364691","25.774168387779",""
