Código,Cidade,DRS
352750,LUCIANOPOLIS,DRS 6
352760,LUIS ANTONIO,DRS 13
352770,LUIZIANIA,DRS 2
352780,LUPERCIO,DRS 9
352790,LUTECIA,DRS 9
352800,MACATUBA,DRS 6
352810,MACAUBAL,DRS 15
352820,MACEDONIA,DRS 15
352830,MAGDA,DRS 15
352840,MAIRINQUE,DRS 16
352850,MAIRIPORA,DRS 1
352860,MANDURI,DRS 6
352870,MARABA PAULISTA,DRS 11
352880,MARACAI,DRS 9
352885,MARAPOAMA,DRS 15
352890,MARIAPOLIS,DRS 9
352900,MARILIA,DRS 9
352910,MARINOPOLIS,DRS 15
352920,MARTINOPOLIS,DRS 11
352930,MATAO,DRS 3
352940,MAUA,DRS 1
352950,MENDONCA,DRS 15
352960,MERIDIANO,DRS 15
352965,MESOPOLIS,DRS 15
352970,MIGUELOPOLIS,DRS 8
352980,MINEIROS DO TIETE,DRS 6
352990,MIRACATU,DRS 12
353000,MIRA ESTRELA,DRS 15
353010,MIRANDOPOLIS,DRS 2
353020,MIRANTE DO PARANAPANEMA,DRS 11
353030,MIRASSOL,DRS 15
353040,MIRASSOLANDIA,DRS 15
353050,MOCOCA,DRS 14
353060,MOGI DAS CRUZES,DRS 1
353070,MOGI GUACU,DRS 14
353080,MOGI MIRIM,DRS 14
353090,MOMBUCA,DRS 10
353100,MONCOES,DRS 15
353110,MONGAGUA,DRS 4
353120,MONTE ALEGRE DO SUL,DRS 7
353130,MONTE ALTO,DRS 13
353140,MONTE APRAZIVEL,DRS 15
353150,MONTE AZUL PAULISTA,DRS 5
353160,MONTE CASTELO,DRS 11
353170,MONTEIRO LOBATO,DRS 17
353180,MONTE MOR,DRS 7
353190,MORRO AGUDO,DRS 8
353200,MORUNGABA,DRS 7
353205,MOTUCA,DRS 3
353210,MURUTINGA DO SUL,DRS 2
353215,NANTES,DRS 11
353220,NARANDIBA,DRS 11
353230,NATIVIDADE DA SERRA,DRS 17
353240,NAZARE PAULISTA,DRS 7
353250,NEVES PAULISTA,DRS 15
353260,NHANDEARA,DRS 15
353270,NIPOA,DRS 15
353280,NOVA ALIANCA,DRS 15
353282,NOVA CAMPINA,DRS 16
353284,NOVA CANAA PAULISTA,DRS 15
353286,NOVA CASTILHO,DRS 2
353290,NOVA EUROPA,DRS 3
353300,NOVA GRANADA,DRS 15
353310,NOVA GUATAPORANGA,DRS 11
353320,NOVA INDEPENDENCIA,DRS 2
353325,NOVAIS,DRS 15
353330,NOVA LUZITANIA,DRS 2
353340,NOVA ODESSA,DRS 7
353350,NOVO HORIZONTE,DRS 15
353360,NUPORANGA,DRS 8
353370,OCAUCU,DRS 9
353380,OLEO,DRS 9
353390,OLIMPIA,DRS 5
353400,ONDA VERDE,DRS 15
353410,ORIENTE,DRS 9
353420,ORINDIUVA,DRS 15
353430,ORLANDIA,DRS 8
353440,OSASCO,DRS 1
353450,OSCAR BRESSANE,DRS 9
353460,OSVALDO CRUZ,DRS 9
353470,OURINHOS,DRS 9
353475,OUROESTE,DRS 15
353480,OURO VERDE,DRS 11
353490,PACAEMBU,DRS 9
